Faculty,Partner University,PU Module 1,PU Module 1 Title,PU Mod1 Credits,PU Module 2,PU Module 2 Title,PU Mod2 Credits,NUS Module 1,NUS Module 1 Title,NUS Mod1 Credits,NUS Module 2,NUS Module 2 Title,NUS Mod2 Credits,Pre Approved?,Country,Continent,Department 1,Department 2,Level
Faculty of Science,Georgia Institute of Technology,BIOL 4464,Developmental Biology,3,,,,LSM3233,Developmental Biology,4,,,,Y,United States of America,Americas,LSM,,3
School of Computing,Georgia Institute of Technology,CS7210,Distributed Computing,3,,,,CS4231,Parallel & Distr Algorithms,4,,,,,United States of America,Americas,CS,,4
NUS Business School,Georgia Institute of Technology,GRMN1002,elementary german 2,1,,,,LAG2741,Department Exchange Module,4,,,,Y,United States of America,Americas,LAG,,2
Faculty of Engineering,Georgia Institute of Technology,ISYE3133,Engineering Optimization,3,,,,IE2110,Operations Research I,4,,,,Y,United States of America,Americas,IE,,2
Faculty of Engineering,Georgia Institute of Technology,ECE4001,Engineering Practice and Professionalism,2,,,,EX3884,Exchange ULR Breadth,2,,,,N,United States of America,Americas,EX,,3
NUS Business School,Georgia Institute of Technology,MGT3078,Finance and Investments,3,,,,FIN2704,Finance,4,,,,Y,United States of America,Americas,FIN,,2
NUS Business School,Georgia Institute of Technology,MGT3078,Finance and Investments,3,,,,FIN2004X,Finance,4,,,,Y,United States of America,Americas,FIN,,2
NUS Business School,Georgia Institute of Technology,MGT3078,Finance and Investments,3,,,,FIN2704X,Finance,4,,,,Y,United States of America,Americas,FIN,,2
NUS Business School,Georgia Institute of Technology,MGT3000,Financial & Managerial Accounting,3,,,,ACC2002,Managerial Accounting,4,,,,Y,United States of America,Americas,ACC,,2
Faculty of Science,Georgia Institute of Technology,MATH6783,Financial Data Analysis,3,,,,ST4245,Statistical Mtds for Finance,4,,,,Y,United States of America,Americas,ST,,4
Faculty of Engineering,Georgia Institute of Technology,AE6124,FINITE-ELEMENT METHOD: THEORY AND PRACTICE,3,,,,ME4291,Finite Element Analysis,4,,,,Y,United States of America,Americas,ME,,4
NUS Business School,Georgia Institute of Technology,PUBP4140,Foundations of Leadership,3,,,,MNO2007,Leadership and Ethics,4,,,,Y,United States of America,Americas,MNO,,2
Faculty of Engineering,Georgia Institute of Technology,PUBP4140,Foundations of Leadership,3,,,,EX4042,Exchange UEM,4,,,,Y,United States of America,Americas,EX,,4
Faculty of Engineering,Georgia Institute of Technology,MGT3659,Foundations of Strategy,3,,,,EX4873,Exchange UEM,4,,,,Y,United States of America,Americas,EX,,4
Faculty of Science,Georgia Institute of Technology,PHYS4347,Fundamentals of Astrophysics,3,,,,PC3246,Astrophysics I,4,,,,Y,United States of America,Americas,PC,,3
Faculty of Engineering,Georgia Institute of Technology,PSYC1101,General Psychology,3,,,,EX4876,Exchange UEM,4,,,,Y,United States of America,Americas,EX,,4
Faculty of Science,Georgia Institute of Technology,BIOL 2344,Genetics,3,,,,LSM1102,Molecular Genetics,4,,,,Y,United States of America,Americas,LSM,,1
Faculty of Science,Georgia Institute of Technology,BIOL 4150,Genomics & Applied Bioinformatics,3,,,,LSM3241,Genomic Data Analysis,4,,,,Y,United States of America,Americas,LSM,,3
Faculty of Arts & Social Sci,Georgia Institute of Technology,ECON4311,Global Enterprise,3,,,,GL3741,Department exchange module,4,,,,Y,United States of America,Americas,GL,,3
Faculty of Science,Georgia Institute of Technology,PHYS7143,Group Theory & Quantum Mechanics,3,,,,PC4991,Exchange Enrichment Module,4,,,,Y,United States of America,Americas,PC,,4
Faculty of Engineering,Georgia Institute of Technology,ME3345,HEAT TRANSFER,3,,,,ME3122,Heat Transfer,4,,,,Y,United States of America,Americas,ME,,3
Faculty of Engineering,Georgia Institute of Technology,BMED2803,HP: Happiness,3,,,,EX2014,Exchange UEM,4,,,,Y,United States of America,Americas,EX,,2
Faculty of Science,Georgia Institute of Technology,BIOL 3751,Human Anatomy and Physiology,3,,,,LSM3212,Human Physio:Cardiopulmon Syst,4,,,,Y,United States of America,Americas,LSM,,3
Faculty of Engineering,Georgia Institute of Technology,PSYC3750,Human Computer Interface Design and Evaluation,3,,,,IE4881,Exchange Elective,4,,,,Y,United States of America,Americas,IE,,4
Faculty of Science,Georgia Institute of Technology,BIOL 4545,Human Genetics,3,,,,LSM3991,Exchange Enrichment Module,4,,,,Y,United States of America,Americas,LSM,,3
Faculty of Engineering,Georgia Institute of Technology,ISYE4009,Human Integrated Systems,3,,,,IE4881,Exchange Elective,4,,,,Y,United States of America,Americas,IE,,4
Faculty of Science,Georgia Institute of Technology,BIOL 3755,Human physiology,3,,,,LSM3212,Human Physio:Cardiopulmon Syst,4,,,,Y,United States of America,Americas,LSM,,3
School of Computing,Georgia Institute of Technology,CS6750,Human-Computer Interact,3,,,,CS3240,Interaction Design,4,,,,,United States of America,Americas,CS,,3
Faculty of Science,Georgia Institute of Technology,BIOL 4570,Immunology and Immunochemistry,3,,,,LSM3223,Immunology,4,,,,Y,United States of America,Americas,LSM,,3
Faculty of Engineering,Georgia Institute of Technology,MGT2210,Info Sys & Dig Transform,3,,,,IE3014,Department Exchange Module,4,,,,Y,United States of America,Americas,IE,,3
School of Computing,Georgia Institute of Technology,CS4460,Information Visualization,3,,,,IS4241,Social Media Network Analysis,4,,,,,United States of America,Americas,IS,,4
School of Computing,Georgia Institute of Technology,CS4460,Information Visualization,3,,,,CS5346,Information Visualisation,4,,,,N,United States of America,Americas,CS,,5
Faculty of Arts & Social Sci,Georgia Institute of Technology,INTA3301,International Political Economy,3,,,,GL2102,Global Political Economy,4,,,,Y,United States of America,Americas,GL,,2
Faculty of Science,Georgia Institute of Technology,PHYS2211,Intro Physics I,4,,,,PC1221,Fundamentals of Physics I,4,,,,Y,United States of America,Americas,PC,,1
Faculty of Engineering,Georgia Institute of Technology,ISYE3790,Intro to Cognitive Science,3,,,,IE4604,Exchange Elective,4,,,,N,United States of America,Americas,IE,,4
School of Computing,Georgia Institute of Technology,CS1301,Intro to Computing,3,,,,CS1010S,Programming Methodology,4,,,,Y,United States of America,Americas,CS,,1
School of Computing,Georgia Institute of Technology,CS4400,Intro to Database Systems,3,,,,CS2102,Database Systems,4,,,,,United States of America,Americas,CS,,2
School of Computing,Georgia Institute of Technology,CS4235,Intro to Info Security,3,,,,CS2107,Introduction to Information Se,4,,,,,United States of America,Americas,CS,,2
School of Computing,Georgia Institute of Technology,CS3600,Introduction to Artificial Intelligence,3,,,,CS3243,Introduction to Artificial Int,4,,,,,United States of America,Americas,CS,,3
School of Computing,Georgia Institute of Technology,CS4240,Introduction to Computational Data Analysis (Machine Learning),3,,,,BT4240,Machine Learning for Predictiv,4,,,,,United States of America,Americas,BT,,4
School of Computing,Georgia Institute of Technology,ECE4415,Introduction to Computer Security,3,,,,CS2107,Introduction to Information Se,4,,,,,United States of America,Americas,CS,,2
Faculty of Engineering,Georgia Institute of Technology,CS4400,Introduction to Database Systems,3,,,,IE4604,Exchange Elective,4,,,,Y,United States of America,Americas,IE,,4
School of Computing,Georgia Institute of Technology,CS6365,Introduction to Enterprise Computing,3,,,,IS2102,Enterprise Systems Architectur,4,,,,,United States of America,Americas,IS,,2
School of Computing,Georgia Institute of Technology,CS1331,Introduction to Object-Oriented Programming,3,,,,CS2030,Programming Methodology II,4,,,,N,United States of America,Americas,CS,,2
Faculty of Science,Georgia Institute of Technology,BIOL 3380,Introductory Microbiology,3,,,,LSM3232,Microbiology,4,,,,Y,United States of America,Americas,LSM,,3
Faculty of Science,Georgia Institute of Technology,PHYS2211,Introductory Physics I.,4,,,,PC1431,Physics IE,4,,,,Y,United States of America,Americas,PC,,1
Faculty of Engineering,Georgia Institute of Technology,MGT3076,Investments,3,,,,EX4044,Exchange UEM,4,,,,Y,United States of America,Americas,EX,,4
School of Computing,Georgia Institute of Technology,CS4635,Knowledge Based AI,3,,,,CS4244,Knowledge Representation and R,4,,,,N,United States of America,Americas,CS,,4
School of Computing,Georgia Institute of Technology,MGT3103,Leadership in Changing Business Environments,3,,,,IS3103,Information Systems Leadership,4,,,,,United States of America,Americas,IS,,3
Faculty of Science,Georgia Institute of Technology,MATH1554,Linear Algebra,4,,,,MA2101,Linear Algebra II,4,,,,Y,United States of America,Americas,MA,,2
Faculty of Science,Georgia Institute of Technology,MATH4580,Linear Programming,3,,,,MA3252,Linear & Network Optimisation,4,,,,Y,United States of America,Americas,MA,,3
Faculty of Science,Georgia Institute of Technology,MATH6266,Linear Statistical Models,3,,,,ST4233,Linear Models,4,,,,Y,United States of America,Americas,ST,,4
Faculty of Engineering,Georgia Institute of Technology,PHIL3113,Logic and Critical Thinking,3,,,,EX4043,Exchange UEM,4,,,,Y,United States of America,Americas,EX,,4
School of Computing,Georgia Institute of Technology,CS7641,Machine Learning,3,,,,CS3244,Machine Learning,4,,,,N,United States of America,Americas,CS,,3
Faculty of Engineering,Georgia Institute of Technology,CS4641,Machine Learning,3,,,,IE4506,Exchange Elective,4,,,,Y,United States of America,Americas,IE,,4
School of Computing,Georgia Institute of Technology,CS7646/CS4646,Machine Learning for Trading,3,,,,BT4013,Analytics for Capital Market T,4,,,,N,United States of America,Americas,BT,,4
NUS Business School,Georgia Institute of Technology,MGT3300,Marketing Management,3,,,,MKT1705X,Principles of Marketing,4,,,,Y,United States of America,Americas,MKT,,1
NUS Business School,Georgia Institute of Technology,MGT3300,Marketing Management,3,,,,MKT1705,Principles of Marketing,4,,,,Y,United States of America,Americas,MKT,,1
NUS Business School,Georgia Institute of Technology,MGT3300,Marketing Management,3,,,,MKT1003,Principles of Marketing,4,,,,Y,United States of America,Americas,MKT,,1
NUS Business School,Georgia Institute of Technology,MGT3300,Marketing Management,3,,,,MKT1003X,Principles of Marketing,4,,,,Y,United States of America,Americas,MKT,,1
Faculty of Science,Georgia Institute of Technology,BIOL 2400,Mathematical Models in Biology,3,,,,LSM1991,Exchange Enrichment Module,4,,,,Y,United States of America,Americas,LSM,,1
Faculty of Science,Georgia Institute of Technology,BIOL 4340,Medical Microbiology,3,,,,LSM3991,Exchange Enrichment Module,4,,,,Y,United States of America,Americas,LSM,,3
Faculty of Engineering,Georgia Institute of Technology,ISYE3039,Methods - Quality Improve,3,,,,IE2130,Quality Engineering I,4,,,,Y,United States of America,Americas,IE,,2
Faculty of Engineering,Georgia Institute of Technology,INTA4742,Modeling Simulation & Military Gaming,3,,,,IE4504,Exchange Elective,4,,,,N,United States of America,Americas,IE,,4
Faculty of Science,Georgia Institute of Technology,BIOL 4607,Molecular Microbiology,3,,,,LSM3991,Exchange Enrichment Module,4,,,,Y,United States of America,Americas,LSM,,3
Faculty of Science,Georgia Institute of Technology,MATH6267,Multivariate Statistical Analysis,3,,,,ST3240,Multivariate Statistical Analy,4,,,,Y,United States of America,Americas,ST,,3
School of Computing,Georgia Institute of Technology,CS4650,Natural Language Processing,3,,,,CS4248,Natural Language Processing,4,,,,N,United States of America,Americas,CS,,4
Faculty of Science,Georgia Institute of Technology,ISYE6404,Nonparametric Statistics,3,,,,ST4232,Nonparametric Statistics,4,,,,Y,United States of America,Americas,ST,,4
Faculty of Science,Georgia Institute of Technology,PHYS4263,"Nuclei,Particles & Fields",3,,,,PC3232,Nuclear & Particle Physics,4,,,,Y,United States of America,Americas,PC,,3
School of Computing,Georgia Institute of Technology,MATH4640,Numerical Analysis I,3,,,,BT3102,Computational Methods for Busi,4,,,,,United States of America,Americas,BT,,3
Faculty of Science,Georgia Institute of Technology,MATH4640,Numerical Analysis I,3,,,,DSA2102,Essential Data Analytics Tools,4,,,,Y,United States of America,Americas,DSA,,2
Faculty of Science,Georgia Institute of Technology,MATH4640,Numerical Analysis I,3,,,,MA2213,Numerical Analysis I,4,,,,Y,United States of America,Americas,MA,,2
Faculty of Engineering,Georgia Institute of Technology,ISYE4803GUP,Online Learning and Decision Making,4,,,,IE4044,Exchange Elective,4,,,,Y,United States of America,Americas,IE,,4
School of Computing,Georgia Institute of Technology,CS3210,Operating Systems Design,3,,,,CS3221,Operatg Sys Desgn & Pragmatics,4,,,,,United States of America,Americas,CS,,3
School of Computing,Georgia Institute of Technology,CS4616,Pattern Recognition,3,,,,CS4243,Comp Vision & Pattern Recogntn,4,,,,N,United States of America,Americas,CS,,4
Faculty of Engineering,Georgia Institute of Technology,ISYE4801TRE,Preparing for Consulting,1,,,,IE4121,Department Exchange Module,1,,,,Y,United States of America,Americas,IE,,4
School of Computing,Georgia Institute of Technology,CS4392,Programming Languages,3,,,,CS2104,Programming Language Concepts,4,,,,N,United States of America,Americas,CS,,2
Faculty of Engineering,Georgia Institute of Technology,MGT4450,Project Management,3,,,,IE4240,Project Management,4,,,,Y,United States of America,Americas,IE,,4
Faculty of Science,Georgia Institute of Technology,BIOL 4012,Protein Biology,3,,,,LSM3231,Protein Structure and Function,4,,,,Y,United States of America,Americas,LSM,,3
Faculty of Science,Georgia Institute of Technology,NRE3301,Radiation Physics,3,,,,PC3232,Nuclear & Particle Physics,4,,,,Y,United States of America,Americas,PC,,3
School of Computing,Georgia Institute of Technology,CS4530,Randomized Algorithms,3,,,,CS5330,Randomized Algorithms,4,,,,N,United States of America,Americas,CS,,5
Faculty of Engineering,Georgia Institute of Technology,ISYE4031,Regression and Forecasting,3,,,,IE4505,Exchange Elective,4,,,,Y,United States of America,Americas,IE,,4
School of Computing,Georgia Institute of Technology,CS7642,Reinforcement Learning and Decision Making,3,,,,CS4246,AI Planning and Decision Makin,4,,,,N,United States of America,Americas,CS,,4
Faculty of Engineering,Georgia Institute of Technology,ISYE4803GEB,Reliability Engineering,4,,,,IE4504,Exchange Elective,4,,,,Y,United States of America,Americas,IE,,4
School of Computing,Georgia Institute of Technology,MGT4367,Revenue Analytics,3,,,,BT4211,Data-Driven Marketing,4,,,,,United States of America,Americas,BT,,4
School of Computing,Georgia Institute of Technology,CS4649,Robot Intelligence - Planning,3,,,,CS4246,AI Planning and Decision Makin,4,,,,N,United States of America,Americas,CS,,4
NUS Business School,Georgia Institute of Technology,MGT4366,Service Operations Management,3,,,,DSC3203,Service Operations Management,4,,,,Y,United States of America,Americas,DSC,,3
NUS Business School,Georgia Institute of Technology,MGT4366,Service Operations Management,3,,,,DOS3703,Service Operations Management,4,,,,Y,United States of America,Americas,DOS,,3
Faculty of Science,Georgia Institute of Technology,BIOL 4746,Signalling Molecules,3,,,,LSM3991,Exchange Enrichment Module,4,,,,Y,United States of America,Americas,LSM,,3
Faculty of Engineering,Georgia Institute of Technology,ISYE3044,Simulation Analy & Design,3,,,,IE3110R,Simulation,4,,,,Y,United States of America,Americas,IE,,3
Faculty of Science,Georgia Institute of Technology,ISYE3044,Simulation Analysis and Design,3,,,,ST3247,Simulation,4,,,,Y,United States of America,Americas,ST,,3
School of Computing,Georgia Institute of Technology,MGT4803,Social and Digital Analytics,3,,,,BT4222,Mining Web Data for Business I,4,,,,,United States of America,Americas,BT,,4
School of Computing,Georgia Institute of Technology,CS6474,SOCIAL COMPUTING,3,,,,IS4241,Social Media Network Analysis,4,,,,N,United States of America,Americas,IS,,4
School of Computing,Georgia Institute of Technology,CS6300,Software Development Process,3,,,,CS3219,Software Engineering Principle,4,,,,N,United States of America,Americas,CS,,3
Faculty of Science,Georgia Institute of Technology,PHYS4262,Solid State Physics,3,,,,PC3235,Solid State Physics I,4,,,,Y,United States of America,Americas,PC,,3
Faculty of Science,Georgia Institute of Technology,BIOL 4803G,Special Topics: Epigenetics,3,,,,LSM4245,Advanced Epigenetics and Chrom,4,,,,Y,United States of America,Americas,LSM,,4
Faculty of Science,Georgia Institute of Technology,ISYE6414,Statistical Modeling and Regression Analysis,3,,,,ST3131,Regression Analysis,4,,,,Y,United States of America,Americas,ST,,3
Faculty of Engineering,Georgia Institute of Technology,ISYE3232,Stochastic Manufacturing and Service Systems,3,,,,IE2100,Probability Models With Applns,4,,,,Y,United States of America,Americas,IE,,2
Faculty of Science,Georgia Institute of Technology,ISYE6762,Stochastic Processes II,3,,,,ST4238,Stochastic Processes II,4,,,,Y,United States of America,Americas,ST,,4
Faculty of Science,Georgia Institute of Technology,MATH6762,Stochastic Processes II,3,,,,ST4238,Stochastic Processes II,4,,,,Y,United States of America,Americas,ST,,4
Faculty of Engineering,Georgia Institute of Technology,AE3140,STRUCTURAL ANALYSIS,3,,,,ME4212,Aircraft Structures,4,,,,Y,United States of America,Americas,ME,,4
Faculty of Engineering,Georgia Institute of Technology,ISYE4301,Supply Chain Economics,3,,,,IE4992,Exchange Elective 2,4,,,,Y,United States of America,Americas,IE,,4
Faculty of Engineering,Georgia Institute of Technology,MGT4401,Supply Chain Modeling,3,,,,IE4220,Supply Chain Modelling,4,,,,Y,United States of America,Americas,IE,,4
Faculty of Engineering,Georgia Institute of Technology,ISYE3103,Supply Chain Modeling: Logistics,3,,,,IE4220,Supply Chain Modelling,4,,,,Y,United States of America,Americas,IE,,4
Faculty of Engineering,Georgia Institute of Technology,ISYE3104,Supply Chain Modeling: Manufacturing and Warehousing,3,,,,IE3120,Manufacturing Logistics,4,,,,Y,United States of America,Americas,IE,,3
Faculty of Engineering,Georgia Institute of Technology,ISYE4803LAL,Supply Chain Project,3,,,,IE4991,Exchange Elective 1,4,,,,Y,United States of America,Americas,IE,,4
Faculty of Engineering,Georgia Institute of Technology,MGT4052,Systems Analysis and Design,3,,,,IE4014,Department Exchange Module,4,,,,Y,United States of America,Americas,IE,,4
Faculty of Science,Georgia Institute of Technology,EAS6140,Thermo of Atmos & Oceans,3,,,,PC3240,"Atmosphere, Ocean and Climate",4,,,,Y,United States of America,Americas,PC,,3
Faculty of Science,Georgia Institute of Technology,ISYE6402,Time Series Analysis,3,,,,ST3233,Applied Time Series Analysis,4,,,,Y,United States of America,Americas,ST,,3
School of Computing,Georgia Institute of Technology,CS3750,User Interface Design,3,,,,CS3240,Interaction Design,4,,,,,United States of America,Americas,CS,,3
School of Computing,Georgia Institute of Technology,CSE6240,Web Search & Text Mining,3,,,,BT4222,Mining Web Data for Business I,4,,,,,United States of America,Americas,BT,,4
School of Computing,Georgia Institute of Technology,ECE6610,Wireless Networks,3,,,,CS4222,Wireless Networking,4,,,,,United States of America,Americas,CS,,4
NUS Business School,Gottingen University,,International Organization Behavior,6,,,,MNO3301,Organisational Behaviour,4,,,,Y,Germany,Europe,MNO,,3
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),4GMP0817,Collaborative Engineering Design Project,5,,,,EX2012,Exchange UEM,4,,,,Y,France,Europe,EX,,2
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),WGUS2014,Creativity and Innovative Design,6,,,,IE4604,Exchange Elective,4,,,,Y,France,Europe,IE,,4
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),WGUS2024,Discrete Event Simulation,6,,,,EX2013,Exchange UEM,4,,,,Y,France,Europe,EX,,2
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),5GUS0103,Global Firm and Economic Dynamics,6,,,,IE4124,Department Exchange Module,4,,,,Y,France,Europe,IE,,4
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),4MMIHM6,Human-Computer Interaction,3,,,,IE4884,Exchange Elective,2,,,,Y,France,Europe,IE,,4
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),3GUC1005,Industrial Management,6,,,,IE4984,Exchange Elective,4,,,,Y,France,Europe,IE,,4
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),WGUS2044,Information Systems Management,6,,,,EX4883,Exchange UEM 4,4,,,,N,France,Europe,EX,,4
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),4MMSIRR6,Intelligent Systems: Reasoning and Recognition,3,,,,IE4512,Exchange Elective,2,,,,Y,France,Europe,IE,,4
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),4GUL0705,Inventory Management,6,,,,IE4114,Department Exchange Module,4,,,,Y,France,Europe,IE,,4
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),WGUS1044,Production and Operations Management,3,,,,IE4112,Department Exchange Module,2,,,,Y,France,Europe,IE,,4
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),WGUS1028,Project on Computer Science,3,,,,EX4048,Exchange UEM,2,,,,Y,France,Europe,EX,,4
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),WGUS2054,Quality and Process Development,6,,,,IE4881,Exchange Elective,4,,,,Y,France,Europe,IE,,4
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),4GMC1245,Sports,1,,,,EX2010,Exchange UEM,1,,,,N,France,Europe,EX,,2
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),WGUS8038,Sustainable Economics,3,,,,EX4886,Exchange UEM 7,2,,,,Y,France,Europe,EX,,4
Faculty of Engineering,Grenoble Institute of Technology (Grenoble INP),4GUC11C7,UE Systems Engineering,3,,,,IE4012,Department Exchange Module,2,,,,Y,France,Europe,IE,,4
Faculty of Arts & Social Sci,Hamburg University of Technology (TUHH),FASS-CLS-ZXY1020,"Deutsch, Niveau A2.1",1,,,,LAG3201,German 3,4,,,,Y,Germany,Europe,LAG,,3
Faculty of Arts & Social Sci,Hamburg University of Technology (TUHH),F15021BHT211,"Deutsch, Niveau A2.1",1,,,,LAG2201,German 2,4,,,,Y,Germany,Europe,LAG,,2
Faculty of Engineering,Hamburg University of Technology (TUHH),TUH001,HEAT TRANSFER,6,,,,ME3122,Heat Transfer,4,,,,Y,Germany,Europe,ME,,3
Faculty of Engineering,Hamburg University of Technology (TUHH),ZXY1008,Project Management,6,,,,IE4240,Project Management,4,,,,Y,Germany,Europe,IE,,4
Faculty of Engineering,Hamburg University of Technology (TUHH),,Technology Entrepreneurship,6,,,,MT5920,Enterprise Development,4,,,,Y,Germany,Europe,MT,,5
Faculty of Arts & Social Sci,Hankuk University of Foreign Studies,K01251101,Chinese Politics and Foreign Policy,3,,,,PS4203,China's Foreign Policy,5,,,,Y,South Korea,Asia,PS,,4
Faculty of Arts & Social Sci,Hankuk University of Foreign Studies,K01256101,Contemporary Issues in Development Policies,3,,,,PS3263,Comp Study of Development,4,,,,Y,South Korea,Asia,PS,,3
Faculty of Arts & Social Sci,Hankuk University of Foreign Studies,D01385101,International Conflict and Game Theory,3,,,,PS3239,Int'l Conflict Analysis,4,,,,Y,South Korea,Asia,PS,,3
Faculty of Arts & Social Sci,Hankuk University of Foreign Studies,K01252101,International Public Law,3,,,,PS4207,,5,,,,Y,South Korea,Asia,PS,,4
Faculty of Arts & Social Sci,Hankuk University of Foreign Studies,K01247101,International Relations : Theory and Practice,3,,,,PS2237,Intro to International Relatns,4,,,,Y,South Korea,Asia,PS,,2
Faculty of Arts & Social Sci,Hankuk University of Foreign Studies,U71866-3U71866301,Korea Politics,2,,,,PS2741,Department Exchange Module,4,,,,Y,South Korea,Asia,PS,,2
Faculty of Arts & Social Sci,Hankuk University of Foreign Studies,K01242101,Political Economy of Global Governance,3,,,,PS2711,Department Exchange Module,4,,,,Y,South Korea,Asia,PS,,2
Faculty of Arts & Social Sci,Hankuk University of Foreign Studies,K1423101,Politics of the Global North,3,,,,PS3701,Political Science Exchange Mod,4,,,,Y,South Korea,Asia,PS,,3
Faculty of Arts & Social Sci,Hankuk University of Foreign Studies,C02230101,Public Policy Evaluation,6,,,,PS4210,Public Policy Analysis,5,,,,Y,South Korea,Asia,PS,,4
Faculty of Arts & Social Sci,Hankuk University of Foreign Studies,K01262101,Social Enterprises,3,,,,PS3262,Managing Non-Profit Orgns,4,,,,Y,South Korea,Asia,PS,,3
Faculty of Science,Hankuk University of Foreign Studies,F05214D02,Statistics,3,,,,ST1131,Introduction to Statistics,4,,,,Y,South Korea,Asia,ST,,1
Faculty of Arts & Social Sci,Hankuk University of Foreign Studies,C02201101,Theory of Administrative Organisation,3,,,,PS4209,Public Orgn Theory & Practice,5,,,,Y,South Korea,Asia,PS,,4
Faculty of Science,Hanyang University,ISS1090,adulthood and aging,3,,,,LSM2991,Exchange Enrichment Level 2000,4,,,,Y,South Korea,Asia,LSM,,2
School of Design & Environment,Hanyang University,ARE3058,Architectural Design 4,6,,,,AR3101,Design 5,8,,,,N,South Korea,Asia,AR,,3
School of Design & Environment,Hanyang University,ARE4050,Architectural Engineering Practice & Project Management,3,,,,PF3206,,4,,,,N,South Korea,Asia,PF,,3
School of Design & Environment,Hanyang University,ARD363,Architectural Planning,3,,,,PF3305,Facilities Planning and Desig,4,,,,N,South Korea,Asia,PF,,3
School of Design & Environment,Hanyang University,ARD3603,Architectural Planning & Programming,3,,,,PF3305,Facilities Planning and Desig,4,,,,N,South Korea,Asia,PF,,3
School of Design & Environment,Hanyang University,ARE1014,Architectural Project Development,3,,,,PF2204,,4,,,,N,South Korea,Asia,PF,,2
Faculty of Arts & Social Sci,Hanyang University,FASS-CLS-ZXY1022,Beginning Korean Language (Cornell),1,,,,LAK1201,Korean 1,4,,,,Y,South Korea,Asia,LAK,,1
School of Design & Environment,Hanyang University,ARE124,Building Equipment and System Design,3,,,,PF3501,,4,,,,N,South Korea,Asia,PF,,3
School of Design & Environment,Hanyang University,ARE305,Building Materials,3,,,,PF2504,Materials Technology,4,,,,N,South Korea,Asia,PF,,2
School of Computing,Hanyang University,ITE1010,C++ Programming,3,,,,CS1010,Programming Methodology,4,,,,Y,South Korea,Asia,CS,,1
School of Computing,Hanyang University,ITE1010,C++ Programming,3,,,,CS1010E,Programming Methodology,4,,,,Y,South Korea,Asia,CS,,1
Faculty of Engineering,Hanyang University,ISS1056,Ceramic Arts (Summer Program),3,,,,EX2013,Exchange UEM,4,,,,N,South Korea,Asia,EX,,2
Faculty of Engineering,Hanyang University,ISS1056,Ceramic Arts (Winter Program),1,,,,AX1811,Department exchange module,1,,,,,South Korea,Asia,AX,,1
School of Design & Environment,Hanyang University,ARE1020,Construction Contract and Management,3,,,,AR3421,Introduction to Architectural,4,,,,N,South Korea,Asia,AR,,3
Faculty of Engineering,Hanyang University,ISS1041,Engineer & Society,3,,,,EG2401A,Engineering Professionalism,2,,,,N,South Korea,Asia,EG,,2
Faculty of Engineering,Hanyang University,ISS1041,Engineer & Society,3,,,,EG2401,,3,,,,N,South Korea,Asia,EG,,2
Faculty of Science,Hanyang University,ISS1116,Epidemiology: Application to public health,3,,,,LSM3991,Exchange Enrichment Module,4,,,,Y,South Korea,Asia,LSM,,3
School of Design & Environment,Hanyang University,BUS3002,Financial Management,3,,,,PF2204,,4,,,,N,South Korea,Asia,PF,,2
School of Design & Environment,Hanyang University,BUS302,Financial Management,3,,,,PF2204,,4,,,,N,South Korea,Asia,PF,,2
Faculty of Science,Hanyang University,GEN0074,General Biology 1,3,,,,LSM2991,Exchange Enrichment Level 2000,4,,,,Y,South Korea,Asia,LSM,,2
Faculty of Science,Hanyang University,ISS1127,Healthy Life Skills,3,,,,PR1991,Exchange Enrichment Level 1000,4,,,,Y,South Korea,Asia,PR,,1
Faculty of Science,Hanyang University,ISS1127,Healthy Life Skills,3,,,,LSM2991,Exchange Enrichment Level 2000,4,,,,Y,South Korea,Asia,LSM,,2
School of Design & Environment,Hanyang University,ARD3005,History of Western Architecture,3,,,,AR2222,Hist & Theory Of Western Archi,4,,,,N,South Korea,Asia,AR,,2
Faculty of Science,Hanyang University,ISS1095,Human Anatomy,3,,,,LSM2212,Human Anatomy,4,,,,Y,South Korea,Asia,LSM,,2
Faculty of Science,Hanyang University,ISS1029,Human Physiology,3,,,,LSM3991,Exchange Enrichment Module,4,,,,Y,South Korea,Asia,LSM,,3
Faculty of Science,Hanyang University,ISS1129,Human Physiology: the mechanisms of body function),3,,,,LSM2991,Exchange Enrichment Level 2000,4,,,,Y,South Korea,Asia,LSM,,2
Faculty of Arts & Social Sci,Hanyang University,SOC3060,International Organizations,3,,,,PS3251,International & Regional Orgs,4,,,,Y,South Korea,Asia,PS,,3
